,investment_id,project_id,commissioning_year,status,asset_type,substation_1,substation_2,ac_dc,specified_length_km,description,underground,voltage (guess),url,x1,y1,x2,y2,p_nom_max
0,2,1,2024,planned_not_yet_permitting,line,Pedralva (PT),Sobrado (PT),AC,67.0,"New double circuit Pedralva (PT) - Sobrado (PT) 400kV OHL, (only one circuit installed in a first step).",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1,-8.32297374841596,41.57731087026569,,,
1,4,1,2022,in_permitting,line,Vieira do Minho (PT),Ribeira de Pena (PT),AC,131.0,New double-circuit 400kV OHL Vieira do Minho (PT) - Ribeira de Pena (PT) - Feira (PT).,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1,-7.763214,41.58258,-7.793621146853301,41.52102394053344,
1,4,1,2022,in_permitting,line,Ribeira de Pena (PT),Feira (PT),AC,131.0,New double-circuit 400kV OHL Vieira do Minho (PT) - Ribeira de Pena (PT) - Feira (PT).,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1,-7.793621146853301,41.52102394053344,-8.389435,40.95916,
2,474,1,2021,in_permitting,substation,Ribeira de Pena (PT),-,AC,-,New 400/60kV substation in Ribeira de Pena.,False,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1,-7.793621146853301,41.52102394053344,,,
3,18,4,2022,in_permitting,line,Beariz (ES),Fontefria (ES),AC,30.0,New northern interconnection. New double circuit 400kV OHL between Beariz (ES) - Fontefria (ES).,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,-8.273869552394737,42.46748640601422,-7.949982,42.38391,
4,496,4,2022,in_permitting,line,Fontefria (ES),Ponte de Lima (PT),AC,140.21,New northern interconnection. New 400kV OHL Fontefria (ES) - Ponte de Lima (PT) - Vila Nova de Famalicão (PT).,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,-7.949982,42.38391,-8.582626164089064,41.764651842353146,
4,496,4,2022,in_permitting,line,Ponte de Lima (PT),Vila Nova de Famalicão (PT),AC,140.21,New northern interconnection. New 400kV OHL Fontefria (ES) - Ponte de Lima (PT) - Vila Nova de Famalicão (PT).,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,-8.582626164089064,41.764651842353146,-8.613236320833042,41.35747938425103,
6,499,4,2022,in_permitting,substation,Beariz (ES),-,AC,0.0,"New northern interconnection. New 400kV substation Beariz (ES), previously Boboras",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,-8.273869552394737,42.46748640601422,,,
7,500,4,2022,in_permitting,substation,Ponte de Lima (PT),-,AC,0.0,"New 400/150kV substation Ponte de Lima (PT), previously V. Castelo.",False,150.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,-8.582626164089064,41.764651842353146,,,
8,38,16,2027,in_permitting,line,Gatica (ES),Cubnezais (FR),DC,370.0,New HVDC interconnection in the western part of the border via DC subsea cable in the Biscay Gulf (cable and converters at the end).;HVDC-VSC link (2 bipoles of 1000 MW each),True,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/16,-2.880286,43.349776,-0.435896,45.069715,
9,60,23,2022,under_construction,line,Avelin (FR),Avelgem (BE),AC,23,Replacement of the current conductors on the axis Avelin/Mastaing - Avelgem - Horta with high performance conductors (HTLS = High Temperature Low Sag),False,400,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/23,3.082177,50.525063,3.469204,50.782616,
9,60,23,2022,under_construction,line,Avelgem (BE),Horta (BE),AC,57,Replacement of the current conductors on the axis Avelin/Mastaing - Avelgem - Horta with high performance conductors (HTLS = High Temperature Low Sag),False,400,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/23,3.469204,50.782616,,,
10,614,26,2023,under_construction,line,Nauders (AT),Glorenza (IT),AC,26.0,interconnector IT-AT,False,220,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/26,10.500459300005021,46.88952470756885,10.57027,46.67241,
11,1503,28,2026,under_construction,line,Villanova (IT),Lastva (ME),DC,445.0,Second HVDC Module (600 MW) of interconnection line between Italy and Montenegro via 445 km 500kV DC subsea cable and converter stations at both ending points.,True,500.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/28,14.13,42.4034,18.792110,42.320594,600
12,635,29,2027,in_permitting,line,Sicily Area (IT),Tunisia node,DC,200.0,New interconnection between Italy and Tunisia - new HVDC submarine cable,False,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/29,,,,,
13,90,33,2023,in_permitting,line,Calenzano (IT),Colunga (IT),AC,80.0,"Voltage upgrade of the existing 80km Calenzano-Colunga 220kV OHL to 400kV, providing in and out connection to the existing 220/150kV substation of S. Benedetto del Querceto (which already complies with 400kV standards).",False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33,11.1666,43.8491,11.4614,44.4837,
14,1041,33,2026,planned_not_yet_permitting,line,Villanova (IT),S. Barbara (IT),AC,350.0,Removing limitations on existing 220 kV grid between Villanova e S.Barbara,False,220.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33,14.13,42.4034,13.3866373,42.3629984,
15,313,35,2026,in_permitting,line,Kocin (CZ),Mirovka (CZ),AC,120.5,Connection of 2 existing 400 kV substations with new double circuit OHL having 120.5 km length and a transmission capacity of 2X1713 MVA.,False,400.0,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35,14.3524,49.1584,15.5993,49.5808,
