substation,x,y
Pedralva (PT),-8.32297374841596,41.57731087026569
Vieira do Minho (PT),-7.763214,41.58258
Ribeira de Pena (PT),-7.793621146853301,41.52102394053344
Beariz (ES),-8.273869552394737,42.46748640601422
Fontefria (ES),-7.949982,42.38391
Ponte de Lima (PT),-8.582626164089064,41.764651842353146
Gatica (ES),-2.880286,43.349776
Avelin (FR),3.082177,50.525063
Avelgem (BE),3.469204,50.782616
Nauders (AT),10.50045930000502,46.88952470756885
Villanova (IT),14.13,42.4034
Calenzano (IT),11.1666,43.8491
Kocin (CZ),14.3524,49.1584
Ishøj / Bjæverskov (DK),12.3206,55.6325
Tonstad (NO),6.72506,58.65811
Audorf (DE),9.7268,54.2921
Vöhringen (DE),10.08209,48.2662
Gabcikovo (SK),17.5454,47.8861
Rimavska Sobota (SK),20.044,48.382
Kilingi-Nomme (EE),24.9876,58.158
Harku (EE),24.5596,59.384
Riga CHP2 (LV),24.2738,56.9183
Hinkley Point (GB),-3.1279,51.207
Woodland (IE),-6.56982,53.47456
South Donegal (IE),-8.0041,54.6773
Srananagh (IE),-8.3838,54.1782
Omagh South (NI),-7.2811,54.5781
Ourique (PT),-8.1897,37.6672
Ferreira do Alentejo (PT),-8.127,38.0556
Alqueva (PT),-7.4982,38.186
Oberzier (DE),6.4581,50.8716
Diemen (NL),5.0146,52.3369
Ens (NL),5.8092,52.6181
Krimpen (NL),4.63051,51.9145
Eindhoven (NL),5.5316,51.4466
Knockraha (IE),-8.3195,51.9541
Kvilldal (NO),6.6546,59.5303
Keminmaa (FI),24.5262,65.8884
Ostroleka (PL),21.6237,53.1069
Ekhyddan (SE),16.6527,57.4159
Foggia (IT),15.5396,41.501
Deliceto (IT),15.47243,41.21962
Bisaccia (IT),15.3286,40.9749
Wolmirstedt (DE),11.639,52.2685
Emden Ost (DE),7.2444,53.3573
Stalpu (RO),26.7166,45.0762
Cernavoda (RO),28.0647,44.3237
Smardan (RO),27.9534,45.4643
Varna(BG),27.5065,43.3148
Maritsa East 1 (BG),25.911389,42.154444
Resita (RO),21.88777,45.30413
Timisoara (RO),21.2815,45.7426
Portile de Fier (RO),22.539073,44.67264
Sacalaz (RO),21.159128,45.760573
Salgareda (IT),12.48828,45.72046
Menuel (FR),-1.57715,49.4768
Revsing (DKW),9.16505,55.50457
Vilnius (LT),25.15768,54.66562
Sindi (EE),24.6706,58.4293
Tartu (EE),26.69124,58.37938
Tsirguliina (EE),26.1774,57.84806
Balti (EE),28.11926,59.35725
Viru (EE),27.90534,59.26897
Darbenai (LT),21.2635,56.02125
Bitenai (LT),22.06383,55.07571
Jurbarkas (LT),22.74159,55.09725
Darbenai (LT),22.06383,55.07571
Dunowo (PL),16.09598,54.12686
Pila Krzewina (PL),16.87347,53.07844
Krajnik (PL),14.4765,53.1971
Morzyczyn,14.89634,53.35475
Zarnowiec,18.08385,54.72205
Sellindge (UK),0.97505,51.10608
Verderio (IT),9.45264,45.65674
Hurva (SE),13.60293,55.83245
Bjaeverskov (DK),12.00703,55.45204
Klixbüll (DE),8.86831,54.79494
Seyring (AT),16.51451,48.34127
Pleinting (DE),13.081668,48.256517
Sima (NW),7.144877,60.499134
Pyhänselkä (FI),26.0729,64.8442
Vernerov (CZ),13.235409,50.399127
Vitkov (CZ),12.675274,50.160683
Conneforde (DE),8.052872,53.332752
Wehrendorf (DE),8.308351,52.345845
Niederrhein (DE),6.680759,51.646711
Somplago (IT),13.066795,46.343171
Gramme (BE),5.286804,50.512385
Bajina Basta (RS),19.500315,43.953021
Lastva (ME),18.79211,42.320594
Kraljevo 3 (RS),20.739984,43.680615
Kragujevac 2 (RS),20.922545,44.059446
Obrenovac (RS),20.169136,44.66586
Muhlbach (FR),7.555683,47.907323
Baczyna (PL),15.038505,52.76751
Zielona Góra (PL),15.5,51.93333
Krajnik (PL),14.47647,53.197029
Mikulowa (PL),15.114696,51.090852
Beznau (CH),8.232178,47.556163
Avedøre (DK),12.47925,55.602761
Brunsbüttel (DE),9.202224,53.896637
Wilster (DE),9.3469,53.9233
Hjälta (SE),17.100558,63.175947
Dakovo (HR),18.420959,45.289022
Gradacac (BA),18.436344,44.904884
Ernestinovo (HR),18.663558,45.473528
Vigy (FR),6.277551,49.198161
Meeden (NL),6.949998,53.123961
Lovedean (GB),-1.04003,50.917135
Castasegna (CH),9.515258,46.335663
Van Eyck (BE),5.774363,51.121208
Massenhoven (BE),4.630408,51.195924
Bruegel (BE),4.231698,50.881294
Mercator (BE),4.247115,51.153988
Osterath (DE),6.6257,51.2602
Józsa (HU),21.601137,47.566535
Rüthi (CH),9.556022,47.302744
Pradella (CH),10.3322,46.805088
Bassecourt (CH),7.258334,47.33785
Mettlen (CH),8.3375,47.115278
Magadino (CH),8.912157,46.162158
Chippis (CH),7.558014,46.287096
Bickigen (CH),7.648871,47.094234
Chamoson (CH),7.249694,46.185506
Aragon region (ES),-1.671123,41.952398
Ejea de los Caballeros (ES),-1.14818,42.10892
Pamplona area (ES),-1.645402,42.818157
Cantegrit (FR),-0.88732,44.01341
Kingsnorth (UK),0.598579,51.418464
Great Island (IE),-6.991805,52.281693
