,x,y,commissioning_year,v_nom,remarks,description,dc,tags
4662,14.3524,49.1584,2023,380.0,,"Upgrade and extension of the existing 400/110 kV substation, increasing nominal capacity of transformers from 2x250 MVA to 2x350 MVA",False,"""name""=>""Kocin"", ""country""=>""CZ"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/200"", ""tyndp2020_proj_id""=>""200"", ""tyndp2020_invest_id""=>""1711"", ""tyndp_status""=>""under_construction"""
5727,15.038505,52.76751,2021,380.0,,Construction of new 400/110 kV Substation Baczyna to connect the new line Krajnik-Ba czyna.,False,"""name""=>""Baczyna"", ""country""=>""PL"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/230"", ""tyndp2020_proj_id""=>""230"", ""tyndp2020_invest_id""=>""1035"", ""tyndp_status""=>""in_permitting"""
4587,12.675274,50.160683,2021,220.0,,A construction of a new 400/110 kV substation GIS technology equipped with two transformers with nominal capacity of 2x350 MVA,False,"""name""=>""Vitkov"", ""country""=>""CZ"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/200"", ""tyndp2020_proj_id""=>""200"", ""tyndp2020_invest_id""=>""1712"", ""tyndp_status""=>""under_construction"""
2811,-8.582626164089064,41.764651842353146,2022,380.0,,"New 400/150kV substation Ponte de Lima (PT), previously V. Castelo.",False,"""name""=>""Ponte de Lima"", ""country""=>""PT"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4"", ""tyndp2020_invest_id""=>""500"", ""tyndp_status""=>""in_permitting"""
2623,-2.880286,43.349776,2025,220.0,,Only 400 to 220 kV transformer. Not the whole substation,False,"""name""=>""Gatica"", ""country""=>""ES"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/378"", ""tyndp2020_proj_id""=>""378"", ""tyndp2020_invest_id""=>""1584"", ""tyndp_status""=>""planned_not_yet_permitting"""
2135,18.23576,42.610562,2035,220.0,"Substation locations not further specified (except Ploce), coordinates based on TYNDP website map.",Construction of two addiotional OHL bays for connection of OHL 220 kV ZONE 6 - Plat,False,"""name""=>""Plat"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1056"", ""tyndp2020_proj_id""=>""1056"", ""tyndp2020_invest_id""=>""1725"", ""tyndp_status""=>""under_consideration"""
6079,-8.268819,53.134319,2025,245.0,,2 x 245kV Connection bays at Oldstreet and associated works,False,"""name""=>""Oldstreet"", ""country""=>""IE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349"", ""tyndp2020_invest_id""=>""1654"", ""tyndp_status""=>""planned_not_yet_permitting"""
5932,-3.474151,53.250084,2025,380.0,,750MW 320kV VSC HVDC Convertor Station to connect to UKNG,True,"""name""=>""Bodelwyddan"", ""country""=>""UK"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349"", ""tyndp2020_invest_id""=>""1646"", ""tyndp_status""=>""planned_not_yet_permitting"""
8165,-6.602175,53.348929,2025,320.0,,750MW 320kV VSC HVDC Convertor Station to connect to EIRGRID AC,True,"""name""=>""Maynooth"", ""country""=>""IE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349"", ""tyndp2020_invest_id""=>""1642"", ""tyndp_status""=>""planned_not_yet_permitting"""
7632,9.852428,51.649318,2024,380.0,,New 380kV double circuit OHL Wahle - Mecklar including two new substations. Length: 210km. See also https://www.tennet.eu/de/unser-netz/onshore-projekte-deutschland/wahle-mecklar/projektbeschreibung/,False,"""name""=>""Hardegsen"", ""country""=>""DE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1043"", ""tyndp2020_proj_id""=>""1043"", ""tyndp2020_invest_id""=>""1686"", ""tyndp_status""=>""under_construction"""
5105,5.061511,51.608344,2029,380.0,,New 380 kV substation Tilburg; New 380 kV double circuit line 2645MVA between Rilland and Tilburg. See also https://www.zuid-west380kv.nl/,False,"""name""=>""Tilburg"", ""country""=>""NL"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/346"", ""tyndp2020_proj_id""=>""346"", ""tyndp2020_invest_id""=>""1544"", ""tyndp_status""=>""in_permitting"""
5762,6.474759,53.213488,2023,380.0,,Upgrade of existing 220kV circuits between Eemshaven and Vierverlaten to 2* 380kV – 2645MVA circuits; New 380kV substation Vierverlaten,False,"""name""=>""Vierverlaten"", ""country""=>""NL"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/348"", ""tyndp2020_proj_id""=>""348"", ""tyndp2020_invest_id""=>""1546"", ""tyndp_status""=>""under_construction"""
