,tyndp_status,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
2,in_permitting,131.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1"", ""tyndp2020_proj_id""=>""1""",2887,1727,"LINESTRING (-7.793621146853301 41.52102394053344, -8.38943499999999 40.95916)"
4,in_permitting,30.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4""",2854,2861,"LINESTRING (-8.273869552394737 42.46748640601422, -7.94998199999999 42.383908)"
5,in_permitting,140.21,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4""",2861,2811,"LINESTRING (-7.94998199999999 42.383908, -8.582626164089064 41.764651842353146)"
6,in_permitting,140.21,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4""",2811,8734,"LINESTRING (-8.582626164089064 41.764651842353146, -8.67645299999999 41.303603)"
10,under_construction,23.0,2022,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/23"", ""tyndp2020_proj_id""=>""23""",5118,5075,"LINESTRING (3.08990499999999 50.50906, 3.429108 50.773813)"
12,under_construction,26.0,2023,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/26"", ""tyndp2020_proj_id""=>""26""",8736,8736,"LINESTRING (10.465851 46.8808455082082, 10.465851 46.8808455082082)"
15,in_permitting,80.0,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33"", ""tyndp2020_proj_id""=>""33""",2374,8266,"LINESTRING (11.126404 43.872158, 11.413422 44.580687)"
16,planned_not_yet_permitting,350.0,2026,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33"", ""tyndp2020_proj_id""=>""33""",2258,8395,"LINESTRING (14.028168 42.409263, 13.345642 42.426498)"
17,in_permitting,120.5,2026,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35"", ""tyndp2020_proj_id""=>""35""",4662,4673,"LINESTRING (14.3524 49.1584, 15.687103 49.531448)"
18,in_permitting,117.0,2028,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35"", ""tyndp2020_proj_id""=>""35""",4662,4615,"LINESTRING (14.3524 49.1584, 13.282471 49.60804)"
