,length,commissioning_year,underground,v_nom,p_nom,tags,bus0,bus1,geometry
129,330.0,2033,True,,600.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/234"", ""tyndp2020_proj_id""=>""234"", ""tyndp2020_invest_id""=>""1236"", ""tyndp_status""=>""under_consideration""",5660,5729,"LINESTRING (12.492828 55.609384, 16.11557 54.132674)"
130,700.0,2026,True,525.0,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/235"", ""tyndp2020_proj_id""=>""235"", ""tyndp2020_invest_id""=>""664"", ""tyndp_status""=>""in_permitting""",5856,7807,"LINESTRING (9.24087500000001 53.906765, 9.12211621382025 49.0939516665424)"
131,558.0,2026,True,525.0,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/235"", ""tyndp2020_proj_id""=>""235"", ""tyndp2020_invest_id""=>""664"", ""tyndp_status""=>""in_permitting""",7074,4942,"LINESTRING (9.327393 53.931837, 10.081329 49.950336)"
132,200.0,2035,True,400.0,800.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/239"", ""tyndp2020_proj_id""=>""239"", ""tyndp2020_invest_id""=>""1241"", ""tyndp_status""=>""under_consideration""",6802,6810,"LINESTRING (17.166138 63.184727, 21.901245 63.03068)"
9,370.0,2027,True,,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/16"", ""tyndp2020_proj_id""=>""16"", ""tyndp2020_invest_id""=>""38"", ""tyndp_status""=>""in_permitting""",2623,2701,"LINESTRING (-2.880286 43.349776, -0.341949000000001 45.030833)"
266,267.0,2030,False,,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1034"", ""tyndp2020_proj_id""=>""1034"", ""tyndp2020_invest_id""=>""1692"", ""tyndp_status""=>""planned_not_yet_permitting""",5780,4744,"LINESTRING (8.00079299999999 53.55581, 8.06808499999999 51.653815)"
267,407.0,2030,False,,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1034"", ""tyndp2020_proj_id""=>""1034"", ""tyndp2020_invest_id""=>""1693"", ""tyndp_status""=>""planned_not_yet_permitting""",5826,4728,"LINESTRING (9.13101199999999 54.20101, 7.06420899999999 51.66063)"
13,445.0,2026,True,500.0,600.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/28"", ""tyndp2020_proj_id""=>""28"", ""tyndp2020_invest_id""=>""1503"", ""tyndp_status""=>""under_construction""",2258,2147,"LINESTRING (14.028168 42.409263, 18.772888 42.315909)"
142,240.0,2023,True,320.0,2000.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/247"", ""tyndp2020_proj_id""=>""247"", ""tyndp2020_invest_id""=>""1381"", ""tyndp_status""=>""in_permitting""",5254,5007,"LINESTRING (-1.05331400000001 50.900435, 1.11373900000001 49.712937)"
269,133.0,2027,True,400.0,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1040"", ""tyndp2020_proj_id""=>""1040"", ""tyndp2020_invest_id""=>""1677"", ""tyndp_status""=>""under_consideration""",6074,5896,"LINESTRING (-5.80902099999999 54.726206, -4.880676 55.704677)"
20,623.0,2020,True,500.0,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/37"", ""tyndp2020_proj_id""=>""37"", ""tyndp2020_invest_id""=>""142"", ""tyndp_status""=>""under_construction""",6358,7074,"LINESTRING (6.82251000000001 58.660514, 9.327393 53.931837)"
286,230.0,2025,True,525.0,1400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1049"", ""tyndp2020_proj_id""=>""1049"", ""tyndp2020_invest_id""=>""1706"", ""tyndp_status""=>""under_consideration""",4972,5068,"LINESTRING (0.763549999999995 51.403489, 3.18054200000001 51.330612)"
287,610.0,2028,True,525.0,1400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1050"", ""tyndp2020_proj_id""=>""1050"", ""tyndp2020_invest_id""=>""1707"", ""tyndp_status""=>""under_consideration""",4965,5770,"LINESTRING (0.482024999999987 51.519853, 7.23587000000001 53.374317)"
288,640.0,2028,True,525.0,1400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1051"", ""tyndp2020_proj_id""=>""1051"", ""tyndp2020_invest_id""=>""1708"", ""tyndp_status""=>""under_consideration""",5889,5809,"LINESTRING (1.30737299999999 52.593038, 9.22851599999999 55.481188)"
40,90.0,2020,True,380.0,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/92"", ""tyndp2020_proj_id""=>""92"", ""tyndp2020_invest_id""=>""146"", ""tyndp_status""=>""under_construction""",4709,4780,"LINESTRING (6.46545399999999 50.831096, 5.688171 50.729502)"
170,230.0,2030,False,,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/270"", ""tyndp2020_proj_id""=>""270"", ""tyndp2020_invest_id""=>""1211"", ""tyndp_status""=>""planned_not_yet_permitting""",2749,2711,"LINESTRING (-1.671123 41.952398, -0.575409000000004 43.345155)"
298,200.0,2040,False,,,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1058"", ""tyndp2020_proj_id""=>""1058"", ""tyndp2020_invest_id""=>""1726"", ""tyndp_status""=>""under_consideration""",7901,3626,"LINESTRING (9.43585963014029 48.6383575221442, 8.298798 47.148634)"
