asset_type,substation_1,substation_2,x1,y1,x2,y2,status,specified_length_km,commissioning_year,ac_dc,underground,voltage,p_nom_max,investment_id,project_id,remarks,url,description
line,Pedralva (PT),Sobrado (PT),-8.32297374841596,41.57731087026569,,,planned_not_yet_permitting,67.0,2024,AC,False,400.0,,2,1,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1,"New double circuit Pedralva (PT) - Sobrado (PT) 400kV OHL, (only one circuit installed in a first step)."
line,Vieira do Minho (PT),Ribeira de Pena (PT),-7.763214,41.58258,-7.793621146853301,41.52102394053344,in_permitting,131.0,2022,AC,False,400.0,,4,1,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1,New double-circuit 400kV OHL Vieira do Minho (PT) - Ribeira de Pena (PT) - Feira (PT).
line,Ribeira de Pena (PT),Feira (PT),-7.793621146853301,41.52102394053344,-8.389435,40.95916,in_permitting,131.0,2022,AC,False,400.0,,4,1,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1,New double-circuit 400kV OHL Vieira do Minho (PT) - Ribeira de Pena (PT) - Feira (PT).
substation,Ribeira de Pena (PT),,-7.793621146853301,41.52102394053344,,,in_permitting,,2021,AC,False,,,474,1,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1,New 400/60kV substation in Ribeira de Pena.
line,Beariz (ES),Fontefria (ES),-8.273869552394737,42.46748640601422,-7.949982,42.38391,in_permitting,30.0,2022,AC,False,400.0,,18,4,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,New northern interconnection. New double circuit 400kV OHL between Beariz (ES) - Fontefria (ES).
line,Fontefria (ES),Ponte de Lima (PT),-7.949982,42.38391,-8.582626164089064,41.764651842353146,in_permitting,140.21,2022,AC,False,400.0,,496,4,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,New northern interconnection. New 400kV OHL Fontefria (ES) - Ponte de Lima (PT) - Vila Nova de Famalicão (PT).
line,Ponte de Lima (PT),Vila Nova de Famalicão (PT),-8.582626164089064,41.764651842353146,-8.613236320833042,41.35747938425103,in_permitting,140.21,2022,AC,False,400.0,,496,4,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,New northern interconnection. New 400kV OHL Fontefria (ES) - Ponte de Lima (PT) - Vila Nova de Famalicão (PT).
substation,Beariz (ES),,-8.273869552394737,42.46748640601422,,,in_permitting,0.0,2022,AC,False,400.0,,499,4,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,"New northern interconnection. New 400kV substation Beariz (ES), previously Boboras"
substation,Ponte de Lima (PT),,-8.582626164089064,41.764651842353146,,,in_permitting,0.0,2022,AC,False,150.0,,500,4,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4,"New 400/150kV substation Ponte de Lima (PT), previously V. Castelo."
line,Gatica (ES),Cubnezais (FR),-2.880286,43.349776,-0.435896,45.069715,in_permitting,370.0,2027,DC,True,,2000.0,38,16,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/16,New HVDC interconnection in the western part of the border via DC subsea cable in the Biscay Gulf (cable and converters at the end).;HVDC-VSC link (2 bipoles of 1000 MW each)
line,Avelin (FR),Avelgem (BE),3.082177,50.525063,3.469204,50.782616,under_construction,23.0,2022,AC,False,400.0,,60,23,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/23,Replacement of the current conductors on the axis Avelin/Mastaing - Avelgem - Horta with high performance conductors (HTLS = High Temperature Low Sag)
line,Avelgem (BE),Horta (BE),3.469204,50.782616,,,under_construction,57.0,2022,AC,False,400.0,,60,23,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/23,Replacement of the current conductors on the axis Avelin/Mastaing - Avelgem - Horta with high performance conductors (HTLS = High Temperature Low Sag)
line,Nauders (AT),Glorenza (IT),10.50045930000502,46.88952470756885,10.57027,46.67241,under_construction,26.0,2023,AC,False,220.0,,614,26,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/26,interconnector IT-AT
line,Villanova (IT),Lastva (ME),14.13,42.4034,18.79211,42.320594,under_construction,445.0,2026,DC,True,500.0,600.0,1503,28,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/28,Second HVDC Module (600 MW) of interconnection line between Italy and Montenegro via 445 km 500kV DC subsea cable and converter stations at both ending points.
line,Sicily Area (IT),Tunisia node,,,,,in_permitting,200.0,2027,DC,False,,,635,29,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/29,New interconnection between Italy and Tunisia - new HVDC submarine cable
line,Calenzano (IT),Colunga (IT),11.1666,43.8491,11.4614,44.4837,in_permitting,80.0,2023,AC,False,400.0,,90,33,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33,"Voltage upgrade of the existing 80km Calenzano-Colunga 220kV OHL to 400kV, providing in and out connection to the existing 220/150kV substation of S. Benedetto del Querceto (which already complies with 400kV standards)."
line,Villanova (IT),S. Barbara (IT),14.13,42.4034,13.3866373,42.3629984,planned_not_yet_permitting,350.0,2026,AC,False,220.0,,1041,33,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/33,Removing limitations on existing 220 kV grid between Villanova e S.Barbara
line,Kocin (CZ),Mirovka (CZ),14.3524,49.1584,15.5993,49.5808,in_permitting,120.5,2026,AC,False,400.0,,313,35,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35,Connection of 2 existing 400 kV substations with new double circuit OHL having 120.5 km length and a transmission capacity of 2X1713 MVA.
line,Kocin (CZ),Prestice (CZ),14.3524,49.1584,13.3354,49.5895,in_permitting,117.0,2028,AC,False,400.0,,315,35,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/35,Adding second circuit to the existing single circuit OHL with a total transmission capacity of 2x1730 MVA and 117 km length
line,Ishøj / Bjæverskov (DK),Bentwisch (DE),12.3206,55.6325,12.21358,54.11212,under_construction,24.0,2020,AC,True,150.0,,141,36,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/36,Four offshore windfarms connected to shore combined with 400 MW interconnection between both countries. New technical solution connecting 220 and 150 kV AC offshore grid and onshore HVDC VSC Back-to-Back Converter.
line,Tonstad (NO),Wilster (DE),6.72506,58.65811,9.3469,53.9233,under_construction,623.0,2020,DC,True,500.0,,142,37,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/37,A 623 km 500 kV HVDC interconnector between southern Norway and northern Germany. 514 km of the interconnector is subsea
line,Audorf (DE),Kassø (DK),9.7268,54.2921,9.2695,55.0371,under_construction,110.0,2020,AC,False,400.0,,144,39,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/39,Step 3 in the Danish-German agreement to upgrade the Jutland-DE transfer capacity. It consists of a new 400kV route in Denmark and In Germany new 400kV line mainly in the trace of a existing 220kV line.
line,Vöhringen (DE),Westtirol (AT),10.08209,48.2662,10.8741,47.24462,planned_not_yet_permitting,157.0,2027,AC,False,380.0,,689,47,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/47,"Upgrade of an existing over head line to 380 kV, extension of existing and errection of new 380-kV-substations including 380/110-kV-transformers. Transmission route Vöhringen (DE) -Westtirol (AT). This project will increase the current power exchange capacity between the DE, AT."
line,Gabcikovo (SK),Gonyu (HU),17.5454,47.8861,17.8038,47.7378,under_construction,110.0,2020,AC,False,400.0,,1500,48,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48,"New interconnection (new 2x400 kV tie-line) between SK and HU starting from Gabcikovo substation (SK) to the Gonyu substation (HU), with one circuit connected to Velky Dur (SK) substation. Project does not include the erection of new switching station Gabcikovo next to the existing one. It includes extension of the new Gabcikovo substation by the two 400 kV bays where the new double line will be connected."
line,Gabcikovo (SK),Velky Dur (SK),17.5454,47.8861,18.4254,48.206,under_construction,110.0,2020,AC,False,400.0,,1500,48,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48,"New interconnection (new 2x400 kV tie-line) between SK and HU starting from Gabcikovo substation (SK) to the Gonyu substation (HU), with one circuit connected to Velky Dur (SK) substation. Project does not include the erection of new switching station Gabcikovo next to the existing one. It includes extension of the new Gabcikovo substation by the two 400 kV bays where the new double line will be connected."
line,Rimavska Sobota (SK),Sajoivanka (HU),20.044,48.382,20.5909,48.2619,under_construction,48.0,2020,AC,False,400.0,,1501,48,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/48,Connection of the two existing substations Rimavska Sobota (SK) - Sajoivanka (HU) by the new double 400 kV OHL armed only with one circuit on the both sides.
line,Kilingi-Nomme (EE),Riga CHP2 (LV),24.9876,58.158,24.2738,56.9183,under_construction,205.0,2020,AC,False,330.0,,386,62,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62,"330 kV AC OHL between Kilingi-Nomme substation in Estonia and Riga CHP2 substation in Latvia. New 330 kV power transmission line is planned to take route along already existing 110 kV power transmission lines, by constructing both 110 kV and 330 kV lines on the same towers. Under the framework of the project it is planned to reconstruct the open-air switchyard of the 330/110 kV substation Riga CHP2 by constructing new open-air connection point for the 330 kV line Kilingi Nomme - Riga CHP2."
line,Harku (EE),Sindi (EE),24.5596,59.384,24.6706,58.4293,under_construction,175.0,2021,AC,False,330.0,,735,62,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62,New double circuit OHL with 2 different voltages 330 kV and 110 kV and with capacity 1143 MVA/240 MVA and a length 175 km. Major part of new internal connection will be established on existing right of way on the western part of Estonian mainland.The investment helps together with 3rd EE-LV interconnector to increase interarea capacity up to 600 MW.
line,Riga CHP2 (LV),Riga HPP (LV),24.2738,56.9183,24.2679,56.8511,under_construction,15.0,2020,AC,False,330.0,,1062,62,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62,The internal reinforcement for 3rd EE-LV interconnector and significant investment for Baltic Synchronization project
line,Hinkley Point (GB),Seabank (GB),-3.1279,51.207,-2.6704,51.537,in_permitting,60.0,2024,AC,False,400.0,,458,78,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/78,New 400kV substation at Hinkley Point. New 400kV transmission route from Hinkley Point to Seabank. Reconstruction of Bridgewater substation for 400kV operation. Uprate Bridgewater - Melksham to 400kV.
line,Woodland (IE),Turleenan (NI),-6.56982,53.47456,-6.6772,54.4674,in_permitting,138.0,2023,AC,False,400.0,,462,81,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/81,A new 138 km single circuit 400 kV 1500 MVA OHL from Turleenan 400/275 kV in Northern Ireland to Woodland 400/220 kV in Ireland. This is a new interconnector project between Ireland and Northern Ireland.
substation,South Donegal (IE),,-8.0041,54.6773,,,planned_not_yet_permitting,,2030,AC,False,275.0,,463,82,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,new substation in south Co. Donegal
line,Srananagh (IE),South Donegal (IE),-8.3838,54.1782,-8.0041,54.6773,planned_not_yet_permitting,83.0,2030,AC,False,275.0,,463,82,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,A new EHV overhead line from Srananagh in Co. Sligo to a new substation in south Co. Donegal
substation,Omagh South (NI),,-7.2811,54.5781,,,planned_not_yet_permitting,58.0,2030,AC,False,275.0,,896,82,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,A new 275 kV cross border link between a new substation in South Donegal in Ireland and a new substation established south of Omagh in Northern Ireland
line,South Donegal (IE),Omagh South (NI),-8.0041,54.6773,-7.2811,54.5781,planned_not_yet_permitting,58.0,2030,AC,False,275.0,,896,82,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,A new 275 kV cross border link between a new substation in South Donegal in Ireland and a new substation established south of Omagh in Northern Ireland
line,Omagh South (NI),Turleenan (NI),-7.2811,54.5781,-6.6772,54.4674,planned_not_yet_permitting,61.0,2030,AC,False,275.0,,897,82,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/82,"A new 275 kV overhead line from a new substation established south of Omagh to a new 400/275 kV substation, established at Turleenan by the North South Interconnection Development"
substation,Ourique (PT),,-8.1897,37.6672,,,planned_not_yet_permitting,0.0,2023,AC,False,400.0,,780,85,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85,Extension of existing Ourique substation to include 400 kV facilities.
line,Ferreira do Alentejo (PT),Ourique (PT),-8.127,38.0556,-8.1897,37.6672,planned_not_yet_permitting,61.0,2023,AC,False,400.0,,779,85,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85,"New double-circuit 400+150 kV OHL F. Alentejo-Ourique-Tavira. The realization of this connection can take advantage of some already existing 150kV single lines, which can be reconstructed as double circuit line 400+150kV."
line,Ourique (PT),Tavira (PT),-8.1897,37.6672,-7.766,37.3449,planned_not_yet_permitting,61.0,2023,AC,False,400.0,,779,85,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85,"New double-circuit 400+150 kV OHL F. Alentejo-Ourique-Tavira. The realization of this connection can take advantage of some already existing 150kV single lines, which can be reconstructed as double circuit line 400+150kV."
line,Alqueva (PT),Divor (PT),-7.4982,38.186,-7.9205,38.6333,planned_not_yet_permitting,75.0,2023,AC,False,400.0,,1670,85,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/85,New 75 km single-circuit 400 kV OHL Alqueva-Divor.
line,Oberzier (DE),Lixhe (BE),6.4581,50.8716,5.6681,50.7544,under_construction,90.0,2020,DC,True,380.0,,146,92,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/92,"Connection between the Oberzier substation in Germany and the Lixhe substation in Belgium via a +-100 km HVDC underground cable, including 2 DC/AC convertor stations to integrate the DC cable with the AC substations at Lixhe & Oberzier."
line,Diemen (NL),Ens (NL),5.0146,52.3369,5.8092,52.6181,under_construction,75.0,2022,AC,False,380.0,,1488,103,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103,"Upgrade of existing 380kV circuits between Diemen, Lelystad and Ens from 2* 2,5 kA to 2* 4kA circuits by replacing the conductors with HTLS conductors"
line,Ens (NL),Zwolle (NL),5.8092,52.6181,6.1901,52.53,in_permitting,32.0,2024,AC,False,380.0,,1490,103,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103,"Upgrade of existing 380kV circuits between Ens and Zwolle from 2* 2,5 kA to 2* 4kA circuits by replacing the conductors with HTLS conductors"
line,Krimpen (NL),Geertruidenberg (NL),4.63051,51.9145,4.8332,51.7012,in_permitting,35.0,2023,AC,False,380.0,,1539,103,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103,"Upgrade of existing 380kV circuits between Krimpen and Geertruidenberg from 2* 2,5 kA to 2* 4kA circuits by replacing the conductors with HTLS conductors"
line,Eindhoven (NL),Maasbracht (NL),5.5316,51.4466,5.9181,51.1488,in_permitting,50.0,2025,AC,False,380.0,,1540,103,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103,"Upgrade of existing 380kV circuits between Eindhoven and Maasbracht from 2* 2,5 kA to 2* 4kA circuits by replacing the conductors with HTLS conductors"
line,Knockraha (IE),La Martyre (FR),-8.3195,51.9541,-4.19358,48.44426,in_permitting,500.0,2026,DC,True,400.0,,810,107,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/107,A new HVDC subsea connection between Ireland and France
line,Kvilldal (NO),Blyth (GB),6.6546,59.5303,-1.531,55.1414,under_construction,720.0,2021,DC,True,515.0,,424,110,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/110,A 720 km long 515 kV 1400 MW HVDC subsea interconnector between western Norway and eastern England.
line,Keminmaa (FI),Messaure (SE),24.5262,65.8884,20.3308,66.6807,in_permitting,200.0,2025,AC,False,400.0,,396,111,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/111,Third AC 400 kV overhead line interconnector between Finland north and Sweden SE1.
line,Keminmaa (FI),Pyhänselkä (FI),24.5262,65.8884,26.0729,64.8442,in_permitting,156.0,2024,AC,False,400.0,,1710,111,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/111,The investment is a 400 kV overhead line in North Finland. It is part of the 3rd AC cross border project between Finland and Sweden and will enable its full capacity to be utilized. The project will also allow integration of new RES generation at Bothnian bay.
line,Ostroleka (PL),Stanislawow (PL),21.6237,53.1069,21.5567,52.2697,under_construction,108.0,2023,AC,False,400.0,,373,123,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/123,Construction of new 400 kV AC double-circuit OHL line with a length of 108 km and capacity of 2x2450 MVA between Ostroleka and Stanislawow.
line,Ekhyddan (SE),Nybro/Hemsjo (SE),16.6527,57.4159,14.711,56.3209,in_permitting,160.0,2026,AC,False,400.0,,733,124,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/124,Second phase includes the internal network reinforcements in Sweden to be able to fully utilize the interconnector between Lithuania and Sweden. The internal reinforcement consists of the new 400 kV single circuit overhead transmission line between Ekhyddan-Nybro-Hemsjo.
line,Foggia (IT),Villanova (IT),15.5396,41.501,14.13,42.4034,in_permitting,178.0,2024,AC,False,400.0,,86,127,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127,"New 178km double circuit 400kV OHL between existing Foggia and Villanova 400kV substations, also connected in and out to the Larino and Gissi substations."
substation,Bisaccia (IT),,15.3286,40.9749,,,under_construction,,2021,AC,False,400.0,,96,127,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127,"New 30km single circuit 400kV OHL between the future substations of Deliceto and Bisaccia, in the Candela area"
line,Deliceto (IT),Bisaccia (IT),15.47243,41.21962,15.3286,40.9749,under_construction,30.0,2021,AC,False,400.0,,96,127,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/127,"New 30km single circuit 400kV OHL between the future substations of Deliceto and Bisaccia, in the Candela area"
line,Wolmirstedt (DE),Isar (DE),11.639,52.2685,12.297,48.6071,in_permitting,540.0,2025,DC,True,525.0,,665,130,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/130,"New DC-line to integrate new wind generation from control area 50Hertz especially Mecklenburg-Vorpommern, Brandenburg and Sachsen-Anhalt towards Central/south Europe for consumption and storage. Also see https://www.50hertz.com/en/Grid/Griddevelopement/Onshoreprojects/SuedOstLink/"
line,Emden Ost (DE),Osterath (DE),7.2444,53.3573,6.6257,51.2602,in_permitting,300.0,2025,DC,False,380.0,,661,132,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/132,New HVDC line from Emden to Osterath to integrate new wind generation especially from North Sea towards Central Germany for consumption. Also see https://www.netzausbau.de/Vorhaben/ansicht/de.html
substation,Stalpu (RO),,26.7166,45.0762,,,under_construction,,2023,AC,False,400.0,,715,138,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138,"To reinforce the cross-section between the Black Sea coast wind generation in Romania and Bulgaria and the consumption and storage centers to the West, the 220 kV OHL Stalpu-Teleajen-Brazi is upgraded to 400 kV, as a continuation of the 400 kV d.c. OHL  Cernavoda-Stalpu. The 220/110 kV substation Stalpu is upgraded to 400/110kV (1x250MVA)."
line,Cernavoda (RO),Stalpu (RO),28.0647,44.3237,26.7166,45.0762,under_construction,159.0,2023,AC,False,400.0,,273,138,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138,"Reinforcement of the cross-section between the Western coast of the Black Sea (Eastern Romania) and the rest of the system. A new 400 kV AC OHL double circuit of 159 km shall be built between the 400 kV substation Cernavoda and the existing 220/110 kV Stalpu substation, which shall be replaced with a 400/110 kV substation (onshore). One of the two circuits shall be connected in-out to the 400 kV substation Gura Ialomitei, situated in the vicinity of the new line."
line,Smardan (RO),Gutinas (RO),27.9534,45.4643,26.8213,46.2238,in_permitting,140.0,2024,AC,False,400.0,,275,138,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138,Reinforcement of the cross-section between the Western coast of the Black Sea (Dobrogea area) and the rest of the system. New 400kV double circuit OHL (one circuit wired) between existing substations. Line length 140km.
line,Varna(BG),Burgas(BG),27.5065,43.3148,27.3569,42.6171,under_construction,86.0,2021,AC,False,400.0,,800,138,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/138,New 86 km single circuit 400kV OHL in parallel to the existing one.
line,Maritsa East 1 (BG),Nea Santa (GR),25.911389,42.154444,22.9204109,40.842266,in_permitting,151.0,2023,AC,False,400.0,,256,142,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,New interconnection line BG-GR by a 151km single circuit 400kV OHL.
line,Maritsa East 1 (BG),Plovdiv (BG),25.911389,42.154444,24.7701,42.113,in_permitting,94.0,2022,AC,False,400.0,,257,142,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,New 94km single circuit 400kV OHL in parallel to the existing one.
line,Maritsa East 1 (BG),Maritsa East 3 (BG),25.911389,42.154444,25.626389,42.054167,under_construction,13.0,2021,AC,False,400.0,,258,142,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,New 13km single circuit 400kV OHL in parallel to the existing one.
line,Maritsa East 1 (BG),Burgas (BG),25.911389,42.154444,27.3568,42.6172,under_construction,150.0,2021,AC,False,400.0,,262,142,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,New 400kV OHL. Line lengt 150km.
substation,Resita (RO),,21.88777,45.30413,,,under_construction,0.0,2025,AC,False,400.0,,701,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,"New 400 kV substation Resita (T400/220 kV 400 MVA + T 400/110 kV 250 MVA), as development of the existing 220/110 kV substation."
substation,Timisoara (RO),,21.2815,45.7426,,,in_permitting,0.0,2025,AC,False,400.0,,705,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,Replacement of 220 kV substation Timisoara with 400 kV substation (2x250 MVA 400/110 kV)
line,Resita (RO),Pancevo (RS),21.88777,45.30413,20.69898,44.86874,under_construction,131.0,2024,AC,False,400.0,,238,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,New 131 km double circuit 400kV OHL between Romania and Serbia (63 km on Romanian (thermal limit 2513 A) side and 68 km on Serbian (thermal limit 1920 A) side).
line,Portile de Fier (RO),Resita (RO),22.539073,44.67264,21.88777,45.30413,under_construction,116.0,2024,AC,False,400.0,,269,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,New 116 km 400kV OHL single circuit between existing substation 400 kV Portile de Fier and new 400 kV substation Resita.
