x,y,not_in_openstreetmap,not_in_pypsa,note
-8.389435,40.95916,True,False,
-8.32297374841596,41.57731087026569,False,True,
,,True,True,Sobrado (PT); see https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1
-8.613236320833042,41.35747938425103,False,True,Vila Nova de Famalicão (PT); see https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4
-2.880286,43.349776,False,False,Gatica (ES);Possible PyPSA coordinates: -2.886658 43.32218
-0.435896,45.069715,False,True,Cubnezais (FR);Possible PyPSA coordinates: -0.341949 45.03083
3.469204,50.782616,False,True,Avelgem (BE);Possible PyPSA coordinates: 3.429108 80.77381
10.500459300005021,46.88952470756885,True,True,Nauders (AT)
10.57027,46.67241,False,True,Glorenza (IT)
6.72506,58.65811,False,True,Tonstad (NO)
6.6546,59.5303,False,True,Kvilldal (NO); part of north sea link
26.0729,64.8442,False,True,Pyhänselkä (FI)
20.3308,66.6807,False,True,Messaure (SE)
16.6527,57.4159,False,True,Ekhyddan (SE)
