,investment_id,commissioning_year,status,asset_type,substation_1,substation_2,ac_dc,specified_length_km,country_1,country_2,s1,x1,y1,s2,x2,y2,coord_dist
1,4,2024,3,line,V.Minho ,Feira ,AC,131.0,,,V. Minho,-7.761841,41.58258,Feira,-8.36883500000001,40.953974,96.47511197301476
4,18,2021,3,line,Beariz,Fontefria,AC,32.0,ES,ES,Beariz,-8.242493,42.375793,Fontefria,-8.393555,42.1746,27.754446447004014
5,496,2021,3,line,Fontefria,Vila Nova de FamalicÆo,AC,135.0,ES,PT,Fontefría,42.4762,-7.7897,Vila Nova de Famalicão,41.4079,-8.5198,133.2104605367011
14,60,2022,3,line,Avelin/Mastaing,Horta,AC,80.0,FR,BE,Mastaing,3.35357699999999,50.316531,Horta,3.574677,51.015483,81.42303196894248
22,90,2022,3,line,Calenzano,Colunga,AC,80.0,IT,IT,Calenzano,11.126404,43.871168,Colunga,11.284332,44.494546,70.28543773176541
25,313,2024,3,line,Kocin,Mirovka,AC,121.0,CZ,CZ,Kočín,49.1609,14.3655,Mírovka,49.5798,15.6192,102.27832419176431
26,315,2028,3,line,Kocin,Prestice,AC,116.0,CZ,CZ,Kočín,49.1609,14.3655,Přeštice,49.5752,13.3225,88.6656295492824
30,144,2020,4,line,Audorf,Kassoe,AC,110.0,DE,DK,Audorf,9.759979,54.305307,Kassø,9.29580699999999,55.074436,98.82704683571505
32,212,2021,3,line,Isar,St. Peter,AC,90.0,DE,AT,Isar,12.292328,48.659222,St. Peter,13.08197,48.25577,97.73190450788245
33,216,2022,3,line,St. Peter,Tauern,AC,128.0,AT,AT,St. Peter,13.08197,48.25577,Tauern,12.671356,47.342545,109.0329068417026
39,1501,2020,3,line,Rimavska Sobota,Sajoivanka,AC,48.0,SK,HU,Rimavská Sobota,19.958038,48.37997,Sajóivánka,20.560913,48.263084,67.85075484813565
40,386,2020,4,line,Kilingi-Nomme,Riga CHP2,AC,205.0,EE,LV,Kilingi-Nomme,25.166931,58.185909,Riga HES,23.832092,56.830944,201.79094951556255
41,735,2020,4,line,Harku,Sindi,AC,175.0,EE,EE,Harku,24.378662,59.396171,Sindi,24.689026,58.377238,108.81861847215437
45,449,2018,3,line,Richborough,Canterbury,AC,20.0,GB,GB,Richborough Castle,51.2932,1.3318,Canterbury Hill,51.3017,1.07265,18.099876659977646
